HOLE:	M0065A
EXPEDITION:	347
TOP:	0
BOTTOM:	43.475
DEPTH_WSF    	SMTU       
m	lb
26.825	403.9037
26.85	404.3025
26.875	404.8225
26.9	405.2462
26.925	405.2462
26.95	405.2462
26.975	406.4875
27	407.4513
27.025	407.68
27.05	407.9188
27.075	408.3788
27.1	408.3538
27.125	408.3637
27.15	408.3763
27.175	408.395
27.2	408.3863
27.225	407.7162
27.25	407.4425
27.275	406.6688
27.3	405.8037
27.325	405.0063
27.35	405.0063
27.375	404.275
27.4	403.87
27.425	403.87
27.45	402.685
27.475	401.2662
27.5	401.29
27.525	401.2725
27.55	401.29
27.575	400.6
27.6	400.3225
27.625	400.295
27.65	400.3112
27.675	400.3138
27.7	400.3337
27.725	399.9813
27.75	399.41
27.775	399.4125
27.8	399.2675
27.825	399.2675
27.85	398.4525
27.875	398.4188
27.9	397.86
27.925	397.395
27.95	397.395
27.975	397.3912
28	397.5237
28.025	398.4225
28.05	398.4425
28.075	398.7825
28.1	399.3962
28.125	399.375
28.15	400.25
28.175	400.315
28.2	400.315
28.225	400.3225
28.25	401.2538
28.275	401.2613
28.3	401.2762
28.325	401.2737
28.35	401.2925
28.375	401.29
28.4	401.2725
28.425	400.8588
28.45	400.3125
28.475	400.7625
28.5	401.31
28.525	402.305
28.55	403.16
28.575	403.4237
28.6	403.4388
28.625	403.4388
28.65	404.0175
28.675	404.3737
28.7	405.2538
28.725	405.2662
28.75	405.26
28.775	405.2638
28.8	405.2487
28.825	405.2613
28.85	404.6663
28.875	403.9463
28.9	403.4413
28.925	403.45
28.95	402.48
28.975	401.4975
29	400.685
29.025	400.0038
29.05	398.425
29.075	396.8875
29.1	396.215
29.125	396.2375
29.15	395.6288
29.175	395.5787
29.2	395.2737
29.225	395.2437
29.25	395.0375
29.275	395.0575
29.3	395.2538
29.325	395.2687
29.35	394.2888
29.375	393.885
29.4	393.2913
29.425	393.2775
29.45	393.3062
29.475	392.9213
29.5	392.3538
29.525	392.3575
29.55	392.1187
29.575	391.39
29.6	391.3825
29.625	391.4012
29.65	390.1425
29.675	390.1588
29.7	390.0013
29.725	389.2025
29.75	389.1913
29.775	388.835
29.8	388.0925
29.825	387.2913
29.85	386.3563
29.875	385.4225
29.9	384.2075
29.925	383.625
29.95	383.26
29.975	382.5375
30	382.26
30.025	381.7263
30.05	381.2863
30.075	381.2838
30.1	380.2387
30.125	380.13
30.15	379.6938
30.175	379.2087
30.2	379.2112
30.225	379.1988
30.25	377.345
30.275	377.29
30.3	376.4875
30.325	375.8463
30.35	374.6187
30.375	373.47
30.4	372.6525
30.425	372.2813
30.45	371.55
30.475	370.6862
30.5	369.415
30.525	368.9962
30.55	367.8062
30.575	366.9612
30.6	366.14
30.625	365.1038
30.65	364.7475
30.675	364.2675
30.7	364.1363
30.725	364.6762
30.75	365.0912
30.775	365.0887
30.8	365.1137
30.825	365.0862
30.85	365.2913
30.875	366.2563
30.9	366.3213
30.925	367.2813
30.95	368.2275
30.975	368.22
31	368.225
31.025	368.215
31.05	368.2162
31.075	368.8675
31.1	369.195
31.125	369.5063
31.15	370.1162
31.175	370.1112
31.2	371.2412
31.225	371.765
31.25	372.2588
31.275	373.1462
31.3	373.5862
31.325	374.1263
31.35	374.5787
31.375	375.0763
31.4	376.1775
31.425	376.3312
31.45	376.3075
31.475	376.3138
31.5	376.3213
31.525	376.355
31.55	377.0262
31.575	376.3538
31.6	375.83
31.625	375.6988
31.65	375.09
31.675	374.1913
31.7	373.4287
31.725	373.2213
31.75	373.22
31.775	372.25
31.8	372.2425
31.825	371.6137
31.85	370.2238
31.875	369.7525
31.9	368.5887
31.925	368.1063
31.95	367.2275
31.975	366.7238
32	366.2725
32.025	365.1663
32.05	365.105
32.075	364.1437
32.1	364.1437
32.125	364.1675
32.15	364.1563
32.175	364.1363
32.2	363.245
32.225	363.1363
32.25	363.13
32.275	362.1563
32.3	361.2338
32.325	361.115
32.35	360.0487
32.375	359.9113
32.4	359.0463
32.425	359.035
32.45	358.6263
32.475	358.0837
32.5	357.595
32.525	356.5025
32.55	355.2175
32.575	355.2325
32.6	354.0837
32.625	353.4025
32.65	352.4188
32.675	352.1375
32.7	351.43
32.725	351.1775
32.75	350.4475
32.775	350.0125
32.8	350.0125
32.825	349.0487
32.85	347.6375
32.875	347.1313
32.9	347.2375
32.925	348.065
32.95	347.13
32.975	347.14
33	346.2013
33.025	345.3987
33.05	345.2613
33.075	344.5963
33.1	344
33.125	344.01
33.15	344.0075
33.175	344.8025
33.2	345.715
33.225	345.5075
33.25	346.1837
33.275	346.1913
33.3	346.2062
33.325	347.1375
33.35	347.1338
33.375	347.4975
33.4	348.1038
33.425	347.325
33.45	347.1425
33.475	347.155
33.5	346.8
33.525	347.1375
33.55	347.1525
33.575	346.21
33.6	346.2213
33.625	345.2513
33.65	344.6375
33.675	343.3937
33.7	343.0787
33.725	343.0775
33.75	343.0612
33.775	343.0763
33.8	343.0862
33.825	343.0837
33.85	343.0675
33.875	343.0512
33.9	343.045
33.925	343.0562
33.95	343.0738
33.975	343.0738
34	343.0475
34.025	343.0713
34.05	343.0663
34.075	343.0775
34.1	343.1675
34.125	343.0512
34.15	343.0738
34.175	343.0425
34.2	343.0525
34.225	342.6412
34.25	342.0925
34.275	342.1038
34.3	342.0862
34.325	342.0812
34.35	342.0975
34.375	342.1112
34.4	342.1
34.425	342.0988
34.45	342.0938
34.475	342.1125
34.5	341.8538
34.525	341.165
34.55	341.0388
34.575	340.2125
34.6	339.7563
34.625	339.2975
34.65	340.2188
34.675	339.3625
34.7	338.5125
34.725	338.085
34.75	337.1625
34.775	337.1088
34.8	337.12
34.825	337.1075
34.85	337.025
34.875	336.085
34.9	336.0988
34.925	336.0763
34.95	336.0825
34.975	336.0738
35	335.7737
35.025	335.2687
35.05	335.735
35.075	336.0688
35.1	336.0688
35.125	336.1088
35.15	337.005
35.175	337.11
35.2	337.1063
35.225	337.3725
35.25	338.1088
35.275	338.4513
35.3	339.0225
35.325	339.0138
35.35	339.8563
35.375	341.0912
35.4	341.1688
35.425	342.0825
35.45	342.9012
35.475	344.005
35.5	344.5925
35.525	345.2387
35.55	345.7013
35.575	346.4237
35.6	347.1237
35.625	347.1212
35.65	347.2787
35.675	348.0587
35.7	348.0663
35.725	348.085
35.75	348.0625
35.775	348.0725
35.8	348.08
35.825	348.0725
35.85	348.0713
35.875	348.3037
35.9	348.2575
35.925	348.08
35.95	348.0688
35.975	348.0763
36	348.0763
36.025	348.075
36.05	348.08
36.075	348.065
36.1	347.5988
36.125	347.9962
36.15	348.0675
36.175	347.7037
36.2	348.07
36.225	347.135
36.25	347.11
36.275	347.1212
36.3	346.6288
36.325	346.685
36.35	346.1988
36.375	346.2437
36.4	346.465
36.425	346.215
36.45	345.4
36.475	345.2588
36.5	345.2513
36.525	345.2487
36.55	345.2425
36.575	345.0013
36.6	344.0338
36.625	344.0125
36.65	344.1325
36.675	345.2475
36.7	345.7775
36.725	345.9337
36.75	345.7675
36.775	346.205
36.8	346.3087
36.825	347.9025
36.85	348.6375
36.875	348.6375
36.9	349.0787
36.925	349.0675
36.95	349.0763
36.975	349.0688
