HOLE:	M0065A		
EXPEDITION:	347		
TOP:	14.825		
BOTTOM:	40.9		
DEPTH_WSF 	RILD       	RILM       	VEC0       
m	ohmm	ohmm	ohmm
29	5.3025	5.3004	5.1355
29.025	5.3011	5.2914	5.1255
29.05	5.3099	5.2829	5.1136
29.075	5.3088	5.2762	5.094
29.1	5.3223	5.2965	5.1062
29.125	5.3358	5.299	5.1062
29.15	5.3385	5.3026	5.1116
29.175	5.3333	5.2938	5.1016
29.2	5.3268	5.2893	5.1039
29.225	5.3094	5.2751	5.0967
29.25	5.2947	5.2639	5.0896
29.275	5.2831	5.2545	5.0776
29.3	5.2798	5.2605	5.0886
29.325	5.2609	5.2523	5.0913
29.35	5.2555	5.2536	5.0969
29.375	5.2459	5.2494	5.09
29.4	5.2427	5.2562	5.1049
29.425	5.2381	5.2571	5.1125
29.45	5.2609	5.2796	5.1357
29.475	5.2655	5.29	5.146
29.5	5.2622	5.3048	5.1743
29.525	5.2648	5.3198	5.1936
29.55	5.2683	5.3365	5.2167
29.575	5.2704	5.3498	5.2218
29.6	5.2844	5.368	5.235
29.625	5.3018	5.3838	5.2551
29.65	5.3072	5.3903	5.2612
29.675	5.3135	5.3982	5.2616
29.7	5.3168	5.3912	5.2603
29.725	5.2961	5.3639	5.2487
29.75	5.2789	5.3372	5.2095
29.775	5.2834	5.3313	5.197
29.8	5.2757	5.3193	5.1863
29.825	5.253	5.2947	5.1586
29.85	5.2571	5.2895	5.1442
29.875	5.2565	5.2857	5.1396
29.9	5.2357	5.267	5.1183
29.925	5.2236	5.2491	5.1042
29.95	5.2083	5.2314	5.0898
29.975	5.1998	5.2223	5.0786
30	5.1957	5.2084	5.0597
30.025	5.1865	5.187	5.0438
30.05	5.188	5.1824	5.0286
30.075	5.1974	5.1798	5.018
30.1	5.1928	5.1715	5.0065
30.125	5.1777	5.1628	5.0044
30.15	5.1836	5.1627	4.9915
30.175	5.1753	5.152	4.9772
30.2	5.1846	5.1713	4.995
30.225	5.1851	5.1818	5.008
30.25	5.2089	5.2099	5.0352
30.275	5.2224	5.236	5.0694
30.3	5.2374	5.259	5.0942
30.325	5.2363	5.2638	5.1066
30.35	5.2496	5.272	5.1111
30.375	5.2607	5.2851	5.1265
30.4	5.2739	5.3016	5.1422
30.425	5.2904	5.3306	5.1753
30.45	5.3022	5.3498	5.1871
30.475	5.315	5.3686	5.2035
30.5	5.3191	5.375	5.2086
30.525	5.3377	5.4049	5.2436
30.55	5.3577	5.4269	5.2636
30.575	5.3649	5.4406	5.2823
30.6	5.359	5.4489	5.2954
30.625	5.3516	5.4512	5.312
30.65	5.3451	5.4395	5.3116
30.675	5.3344	5.4318	5.3129
30.7	5.3337	5.4307	5.3115
30.725	5.336	5.4301	5.3141
30.75	5.3444	5.437	5.3111
30.775	5.3274	5.4284	5.2956
30.8	5.3252	5.4176	5.2845
30.825	5.3363	5.4205	5.2879
30.85	5.329	5.413	5.2813
30.875	5.3176	5.3875	5.255
30.9	5.3296	5.3872	5.2489
30.925	5.3255	5.3786	5.2436
30.95	5.3083	5.3518	5.2182
30.975	5.3068	5.3408	5.2045
31	5.301	5.3315	5.1879
31.025	5.2896	5.3117	5.1812
31.05	5.2862	5.2986	5.1672
31.075	5.2892	5.3063	5.1786
31.1	5.2949	5.2991	5.1709
31.125	5.3059	5.3052	5.1758
31.15	5.3127	5.3065	5.169
31.175	5.3281	5.3239	5.1801
31.2	5.345	5.3321	5.188
31.225	5.3606	5.3498	5.2052
31.25	5.3745	5.3602	5.2259
31.275	5.4004	5.3832	5.249
31.3	5.4239	5.3988	5.2714
31.325	5.4364	5.4137	5.291
31.35	5.4553	5.435	5.3128
31.375	5.483	5.4649	5.338
31.4	5.4998	5.4828	5.3455
31.425	5.5097	5.4977	5.359
31.45	5.5435	5.5361	5.3883
31.475	5.592	5.5883	5.4403
31.5	5.6356	5.6363	5.485
31.525	5.6647	5.673	5.5251
31.55	5.6999	5.7046	5.5445
31.575	5.7153	5.7164	5.5573
31.6	5.7363	5.7334	5.5749
31.625	5.7612	5.7598	5.6003
31.65	5.81	5.8123	5.6447
31.675	5.8387	5.8452	5.6768
31.7	5.8887	5.8966	5.7217
31.725	5.9108	5.9223	5.7415
31.75	5.9404	5.9654	5.7761
