HOLE:	M0065A
EXPEDITION:	347
TOP:	0
BOTTOM:	38.65
DEPTH_WSF	GRGC       
m	gAPI
30.6	108.813
30.625	107.4865
30.65	108.8138
30.675	112.2142
30.7	114.8654
30.725	115.6591
30.75	113.4045
30.775	113.6573
30.8	111.5349
30.825	109.8094
30.85	107.558
30.875	109.3601
30.9	108.3028
30.925	107.7634
30.95	107.4002
30.975	109.5867
31	107.6674
31.025	104.6284
31.05	100.3372
31.075	98.5777
31.1	96.4454
31.125	97.1369
31.15	99.6526
31.175	104.4575
31.2	108.4873
31.225	110.5162
31.25	110.6127
31.275	110.3079
31.3	108.272
31.325	104.3785
31.35	100.8864
31.375	99.3764
31.4	99.448
31.425	102.1614
31.45	106.5643
31.475	111.1492
31.5	115.3754
31.525	116.4807
31.55	116.5293
31.575	116.0904
31.6	117.0055
31.625	116.0513
31.65	115.7671
31.675	114.3684
31.7	113.7443
31.725	112.5774
31.75	113.6562
31.775	114.1299
31.8	112.384
31.825	106.7479
31.85	103.5051
31.875	100.8367
31.9	101.6316
31.925	102.6997
31.95	104.1902
31.975	103.168
32	103.4075
32.025	103.6515
32.05	105.3667
32.075	107.7499
32.1	109.4849
32.125	112.1342
32.15	113.5648
32.175	116.9316
32.2	119.9344
32.225	123.673
32.25	123.0031
32.275	121.2291
32.3	117.1246
32.325	114.6106
32.35	114.1545
32.375	116.3244
32.4	119.6572
32.425	121.7325
32.45	121.2095
32.475	118.6644
32.5	115.5126
32.525	111.8478
32.55	109.0166
32.575	105.9482
32.6	105.2952
32.625	104.737
32.65	107.1271
32.675	112.3046
32.7	120.0181
32.725	124.8479
32.75	125.6604
32.775	123.6029
32.8	117.4788
32.825	112.9153
32.85	111.7342
32.875	112.1151
32.9	111.6864
32.925	110.0741
32.95	111.6203
32.975	109.2142
33	107.5428
33.025	105.3257
33.05	108.923
33.075	111.3554
33.1	115.0125
33.125	118.1917
33.15	121.6877
33.175	121.0419
33.2	117.2939
33.225	111.6423
33.25	107.6018
33.275	102.483
33.3	100.7363
33.325	98.0331
33.35	99.507
33.375	99.6765
33.4	103.0758
33.425	103.5278
33.45	107.7716
33.475	110.7732
33.5	114.2343
33.525	112.5377
33.55	110.1108
33.575	106.5259
33.6	102.2145
33.625	97.4487
33.65	93.8409
33.675	92.4091
33.7	88.6876
33.725	84.0547
33.75	78.7319
33.775	76.886
33.8	76.1114
33.825	74.2828
33.85	72.3282
33.875	70.0616
33.9	67.5107
33.925	63.9518
33.95	63.0818
33.975	63.5516
34	66.9658
34.025	70.116
34.05	72.246
34.075	72.1799
34.1	70.4425
34.125	68.3977
34.15	66.57
34.175	67.9625
34.2	70.3734
34.225	74.0151
34.25	76.2559
34.275	78.2443
34.3	77.4499
34.325	75.5985
34.35	75.4837
34.375	76.963
34.4	78.5581
34.425	80.2981
34.45	84.0082
34.475	85.6684
34.5	86.1586
34.525	86.4535
34.55	86.0146
34.575	85.6442
34.6	86.2538
34.625	90.7796
34.65	94.2541
34.675	96.1792
34.7	96.94
34.725	98.2291
34.75	96.8658
34.775	95.9301
34.8	98.482
34.825	102.6318
34.85	104.6874
34.875	106.9313
34.9	109.3321
34.925	109.0701
34.95	105.6321
34.975	102.6336
35	101.1595
35.025	98.5161
35.05	98.3582
35.075	100.1168
35.1	103.4386
35.125	104.138
35.15	105.7919
35.175	106.9561
35.2	108.0091
35.225	108.0014
35.25	105.7704
35.275	102.3888
35.3	99.4944
35.325	96.2566
35.35	94.4198
35.375	94.521
35.4	97.1367
35.425	96.851
35.45	96.8709
35.475	97.5789
35.5	99.5293
35.525	99.3531
35.55	100.568
35.575	102.0054
35.6	102.6593
35.625	101.6416
35.65	102.6791
35.675	103.5879
35.7	105.0701
35.725	104.8207
35.75	105.6371
35.775	105.2016
35.8	106.0935
35.825	105.7301
35.85	106.1078
35.875	107.0365
35.9	108.0802
35.925	109.3071
35.95	109.4757
35.975	110.33
36	110.3058
36.025	111.7953
36.05	112.4236
36.075	111.2775
36.1	106.7969
36.125	102.5957
36.15	100.9481
36.175	101.4954
36.2	105.7868
36.225	112.666
36.25	118.565
36.275	118.8773
36.3	115.0482
36.325	108.4918
36.35	100.1094
36.375	89.6263
36.4	81.5694
36.425	75.4132
36.45	74.2097
36.475	72.831
36.5	73.5028
36.525	72.4241
36.55	73.6405
36.575	72.5015
36.6	72.7754
36.625	71.7028
36.65	71.0114
36.675	67.8704
36.7	62.4348
36.725	59.6983
36.75	58.7562
36.775	62.363
36.8	64.7633
36.825	68.2234
36.85	69.7188
36.875	71.3975
36.9	69.2598
36.925	65.603
36.95	61.6345
36.975	58.1389
37	55.2049
37.025	52.6029
37.05	52.131
37.075	51.856
37.1	50.498
37.125	50.2149
37.15	50.8693
37.175	53.7872
37.2	56.549
37.225	59.0901
37.25	59.2605
37.275	59.9181
37.3	60.4642
37.325	63.0391
37.35	63.7398
37.375	64.4932
37.4	62.7266
37.425	60.8211
37.45	59.5488
37.475	60.2321
37.5	61.177
37.525	63.8184
37.55	67.0085
37.575	68.1307
37.6	67.968
37.625	68.3886
37.65	71.4023
37.675	72.6307
37.7	74.6716
37.725	76.0771
37.75	78.6303
37.775	77.8863
37.8	77.4069
37.825	75.5305
37.85	75.0053
37.875	74.9473
37.9	75.9697
37.925	76.8622
37.95	77.4519
37.975	79.1914
38	79.9759
38.025	79.2168
38.05	77.8142
38.075	76.6061
38.1	76.992
38.125	77.6392
38.15	78.0717
38.175	79.0617
38.2	78.6753
38.225	79.5217
38.25	77.9984
38.275	78.1416
38.3	79.5608
38.325	85.1994
38.35	89.4331
38.375	93.4369
38.4	96.0502
38.425	96.4532
38.45	95.0895
38.475	91.9204
38.5	90.4258
38.525	88.5973
38.55	86.9447
38.575	85.193
38.6	83.3832
38.625	81.5583
38.65	80.5721
